Zeit,Zeit (UTC),Zählerstand Bezug (Wh),Zählerstand Einspeisung (Wh),Leistung Bezug (W),Leistung Einspeisung (W)
01.10.2022 00:15,30.09.2022 22:15,9339140,351975,405,0
01.10.2022 00:30,30.09.2022 22:30,9339213,351975,290,0
01.10.2022 00:45,30.09.2022 22:45,9339275,351975,246,0
01.10.2022 01:00,30.09.2022 23:00,9339337,351975,247,0
01.10.2022 01:15,30.09.2022 23:15,9339413,351975,306,0
01.10.2022 01:30,30.09.2022 23:30,9339477,351975,256,0
01.10.2022 01:45,30.09.2022 23:45,9339541,351975,255,0
01.10.2022 02:00,01.10.2022 00:00,9339606,351975,260,0
01.10.2022 02:15,01.10.2022 00:15,9339674,351975,272,0
01.10.2022 02:30,01.10.2022 00:30,9339752,351975,309,0
01.10.2022 02:45,01.10.2022 00:45,9339816,351975,256,0
01.10.2022 03:00,01.10.2022 01:00,9339884,351975,272,0
01.10.2022 03:15,01.10.2022 01:15,9339957,351975,293,0
01.10.2022 03:30,01.10.2022 01:30,9340019,351975,246,0
01.10.2022 03:45,01.10.2022 01:45,9340080,351975,245,0
01.10.2022 04:00,01.10.2022 02:00,9340142,351975,247,0
01.10.2022 04:15,01.10.2022 02:15,9340212,351975,279,0
01.10.2022 04:30,01.10.2022 02:30,9340277,351975,260,0
01.10.2022 04:45,01.10.2022 02:45,9340336,351975,234,0
01.10.2022 05:00,01.10.2022 03:00,9340395,351975,237,0
01.10.2022 05:15,01.10.2022 03:15,9340457,351975,247,0
01.10.2022 05:30,01.10.2022 03:30,9340532,351975,299,0
01.10.2022 05:45,01.10.2022 03:45,9340602,351975,280,0
01.10.2022 06:00,01.10.2022 04:00,9340663,351975,244,0
01.10.2022 06:15,01.10.2022 04:15,9340740,351975,307,0
01.10.2022 06:30,01.10.2022 04:30,9340806,351975,261,0
01.10.2022 06:45,01.10.2022 04:45,9340869,351975,252,0
01.10.2022 07:00,01.10.2022 05:00,9340930,351975,246,0
01.10.2022 07:15,01.10.2022 05:15,9340993,351975,252,0
01.10.2022 07:30,01.10.2022 05:30,9341071,351975,308,0
01.10.2022 07:45,01.10.2022 05:45,9341137,351975,264,0
01.10.2022 08:00,01.10.2022 06:00,9341311,351975,696,0
01.10.2022 08:15,01.10.2022 06:15,9341494,351975,732,0
01.10.2022 08:30,01.10.2022 06:30,9341613,351975,476,0
01.10.2022 08:45,01.10.2022 06:45,9341725,351975,445,0
01.10.2022 09:00,01.10.2022 07:00,9341944,351975,878,0
01.10.2022 09:15,01.10.2022 07:15,9342508,351975,2256,0
01.10.2022 09:30,01.10.2022 07:30,9342944,351975,1744,0
01.10.2022 09:45,01.10.2022 07:45,9343393,351975,1792,0
01.10.2022 10:00,01.10.2022 08:00,9343680,351975,1148,0
01.10.2022 10:15,01.10.2022 08:15,9344128,351975,1794,0
01.10.2022 10:30,01.10.2022 08:30,9344249,351975,483,0
01.10.2022 10:45,01.10.2022 08:45,9344943,351980,2774,20
01.10.2022 11:00,01.10.2022 09:00,9345378,351993,1740,51
01.10.2022 11:15,01.10.2022 09:15,9345927,351994,2196,4
01.10.2022 11:30,01.10.2022 09:30,9346043,352003,463,33
01.10.2022 11:45,01.10.2022 09:45,9346044,352063,0,242
01.10.2022 12:00,01.10.2022 10:00,9346044,352183,1,476
01.10.2022 12:15,01.10.2022 10:15,9346044,352373,0,763
01.10.2022 12:30,01.10.2022 10:30,9346044,352573,0,799
01.10.2022 12:45,01.10.2022 10:45,9346045,352667,2,375
01.10.2022 13:00,01.10.2022 11:00,9346045,352835,0,673
01.10.2022 13:15,01.10.2022 11:15,9346045,353105,0,1077
01.10.2022 13:30,01.10.2022 11:30,9346045,353488,0,1534
01.10.2022 13:45,01.10.2022 11:45,9346045,353788,0,1198
01.10.2022 14:00,01.10.2022 12:00,9346053,353946,32,632
01.10.2022 14:15,01.10.2022 12:15,9346085,353946,128,0
01.10.2022 14:30,01.10.2022 12:30,9346134,353946,195,0
01.10.2022 14:45,01.10.2022 12:45,9346175,353946,163,0
01.10.2022 15:00,01.10.2022 13:00,9346183,354024,33,311
01.10.2022 15:15,01.10.2022 13:15,9346183,354364,0,1359
01.10.2022 15:30,01.10.2022 13:30,9346183,354889,0,2098
01.10.2022 15:45,01.10.2022 13:45,9346183,355429,0,2159
01.10.2022 16:00,01.10.2022 14:00,9346183,355884,0,1822
01.10.2022 16:15,01.10.2022 14:15,9346183,356140,0,1023
01.10.2022 16:30,01.10.2022 14:30,9346183,356560,0,1681
01.10.2022 16:45,01.10.2022 14:45,9346183,356893,0,1330
01.10.2022 17:00,01.10.2022 15:00,9346185,356999,8,423
01.10.2022 17:15,01.10.2022 15:15,9346189,357063,16,259
01.10.2022 17:30,01.10.2022 15:30,9346190,357091,1,108
01.10.2022 17:45,01.10.2022 15:45,9346198,357092,31,4
01.10.2022 18:00,01.10.2022 16:00,9346219,357092,84,0
01.10.2022 18:15,01.10.2022 16:15,9346262,357092,173,0
01.10.2022 18:30,01.10.2022 16:30,9346304,357092,168,0
01.10.2022 18:45,01.10.2022 16:45,9346349,357092,180,0
01.10.2022 19:00,01.10.2022 17:00,9346397,357092,190,0
01.10.2022 19:15,01.10.2022 17:15,9346447,357092,200,0
01.10.2022 19:30,01.10.2022 17:30,9346510,357092,253,0
01.10.2022 19:45,01.10.2022 17:45,9346565,357092,219,0
01.10.2022 20:00,01.10.2022 18:00,9346628,357092,253,0
01.10.2022 20:15,01.10.2022 18:15,9346679,357092,203,0
01.10.2022 20:30,01.10.2022 18:30,9346731,357092,208,0
01.10.2022 20:45,01.10.2022 18:45,9346795,357092,254,0
01.10.2022 21:00,01.10.2022 19:00,9346854,357092,234,0
01.10.2022 21:15,01.10.2022 19:15,9346904,357092,200,0
01.10.2022 21:30,01.10.2022 19:30,9346970,357092,264,0
01.10.2022 21:45,01.10.2022 19:45,9347025,357092,220,0
01.10.2022 22:00,01.10.2022 20:00,9347074,357092,196,0
01.10.2022 22:15,01.10.2022 20:15,9347123,357092,197,0
01.10.2022 22:30,01.10.2022 20:30,9347172,357092,194,0
01.10.2022 22:45,01.10.2022 20:45,9347234,357092,247,0
01.10.2022 23:00,01.10.2022 21:00,9347284,357092,202,0
01.10.2022 23:15,01.10.2022 21:15,9347333,357092,193,0
01.10.2022 23:30,01.10.2022 21:30,9347381,357092,192,0
01.10.2022 23:45,01.10.2022 21:45,9347430,357092,196,0
02.10.2022 00:00,01.10.2022 22:00,9347494,357092,257,0
02.10.2022 00:15,01.10.2022 22:15,9347545,357092,204,0
02.10.2022 00:30,01.10.2022 22:30,9347595,357092,198,0
02.10.2022 00:45,01.10.2022 22:45,9347645,357092,198,0
02.10.2022 01:00,01.10.2022 23:00,9347695,357092,202,0
02.10.2022 01:15,01.10.2022 23:15,9347760,357092,260,0
02.10.2022 01:30,01.10.2022 23:30,9347816,357092,220,0
02.10.2022 01:45,01.10.2022 23:45,9347867,357092,206,0
02.10.2022 02:00,02.10.2022 00:00,9347932,357092,259,0
02.10.2022 02:15,02.10.2022 00:15,9347982,357092,201,0
02.10.2022 02:30,02.10.2022 00:30,9348031,357092,196,0
02.10.2022 02:45,02.10.2022 00:45,9348080,357092,192,0
02.10.2022 03:00,02.10.2022 01:00,9348128,357092,194,0
02.10.2022 03:15,02.10.2022 01:15,9348191,357092,251,0
02.10.2022 03:30,02.10.2022 01:30,9348241,357092,199,0
02.10.2022 03:45,02.10.2022 01:45,9348291,357092,199,0
02.10.2022 04:00,02.10.2022 02:00,9348342,357092,206,0
02.10.2022 04:15,02.10.2022 02:15,9348391,357092,196,0
02.10.2022 04:30,02.10.2022 02:30,9348452,357092,242,0
02.10.2022 04:45,02.10.2022 02:45,9348499,357092,185,0
02.10.2022 05:00,02.10.2022 03:00,9348545,357092,185,0
02.10.2022 05:15,02.10.2022 03:15,9348594,357092,194,0
02.10.2022 05:30,02.10.2022 03:30,9348644,357092,200,0
02.10.2022 05:45,02.10.2022 03:45,9348708,357092,257,0
02.10.2022 06:00,02.10.2022 04:00,9348756,357092,191,0
02.10.2022 06:15,02.10.2022 04:15,9348804,357092,194,0
02.10.2022 06:30,02.10.2022 04:30,9348857,357092,208,0
02.10.2022 06:45,02.10.2022 04:45,9348909,357092,209,0
02.10.2022 07:00,02.10.2022 05:00,9348974,357092,260,0
02.10.2022 07:15,02.10.2022 05:15,9349028,357092,214,0
02.10.2022 07:30,02.10.2022 05:30,9349081,357092,211,0
02.10.2022 07:45,02.10.2022 05:45,9349147,357092,262,0
02.10.2022 08:00,02.10.2022 06:00,9349196,357092,197,0
02.10.2022 08:15,02.10.2022 06:15,9349240,357092,176,0
02.10.2022 08:30,02.10.2022 06:30,9349280,357092,160,0
02.10.2022 08:45,02.10.2022 06:45,9349302,357092,87,0
02.10.2022 09:00,02.10.2022 07:00,9349302,357119,0,110
02.10.2022 09:15,02.10.2022 07:15,9349302,357163,0,175
02.10.2022 09:30,02.10.2022 07:30,9349302,357285,0,488
02.10.2022 09:45,02.10.2022 07:45,9349303,357347,0,246
02.10.2022 10:00,02.10.2022 08:00,9349307,357361,16,55
02.10.2022 10:15,02.10.2022 08:15,9349307,357483,0,490
02.10.2022 10:30,02.10.2022 08:30,9349307,357616,0,529
