Zeit,Zeit (UTC),Zählerstand Bezug (Wh),Zählerstand Einspeisung (Wh),Leistung Bezug (W),Leistung Einspeisung (W)
07.04.2020 14:30,07.04.2020 12:30,127501,330263,0,9187
07.04.2020 14:45,07.04.2020 12:45,127501,332634,0,9482
07.04.2020 15:00,07.04.2020 13:00,127501,334902,0,9070
07.04.2020 15:15,07.04.2020 13:15,127501,337070,0,8674
07.04.2020 15:30,07.04.2020 13:30,127501,339169,0,8393
07.04.2020 15:45,07.04.2020 13:45,127501,341132,0,7852
07.04.2020 16:00,07.04.2020 14:00,127501,342956,0,7294
07.04.2020 16:15,07.04.2020 14:15,127501,344651,0,6782
07.04.2020 16:30,07.04.2020 14:30,127501,346321,0,6679
07.04.2020 16:45,07.04.2020 14:45,127501,347797,0,5901
07.04.2020 17:00,07.04.2020 15:00,127501,349159,0,5451
07.04.2020 17:15,07.04.2020 15:15,127501,350126,0,3866
07.04.2020 17:30,07.04.2020 15:30,127501,350788,0,2649
07.04.2020 17:45,07.04.2020 15:45,127501,351592,0,3216
07.04.2020 18:00,07.04.2020 16:00,127501,352522,0,3719
07.04.2020 18:15,07.04.2020 16:15,127501,353310,0,3149
07.04.2020 18:30,07.04.2020 16:30,127501,353978,0,2671
07.04.2020 18:45,07.04.2020 16:45,127501,354355,0,1508
07.04.2020 19:00,07.04.2020 17:00,127501,354453,0,392
07.04.2020 19:15,07.04.2020 17:15,127501,354519,0,262
07.04.2020 19:30,07.04.2020 17:30,127501,354558,0,157
07.04.2020 19:45,07.04.2020 17:45,127520,354562,78,16
07.04.2020 20:00,07.04.2020 18:00,127585,354562,258,0
07.04.2020 20:15,07.04.2020 18:15,127658,354562,291,0
07.04.2020 20:30,07.04.2020 18:30,127733,354562,301,0
07.04.2020 20:45,07.04.2020 18:45,127791,354562,230,0
07.04.2020 21:00,07.04.2020 19:00,127844,354562,210,0
07.04.2020 21:15,07.04.2020 19:15,127941,354562,388,0
07.04.2020 21:30,07.04.2020 19:30,128035,354562,378,0
07.04.2020 21:45,07.04.2020 19:45,128126,354562,364,0
07.04.2020 22:00,07.04.2020 20:00,128193,354562,265,0
07.04.2020 22:15,07.04.2020 20:15,128257,354562,257,0
07.04.2020 22:30,07.04.2020 20:30,128368,354562,442,0
07.04.2020 22:45,07.04.2020 20:45,128422,354562,217,0
07.04.2020 23:00,07.04.2020 21:00,128509,354562,347,0
07.04.2020 23:15,07.04.2020 21:15,128567,354562,232,0
07.04.2020 23:30,07.04.2020 21:30,128630,354562,252,0
07.04.2020 23:45,07.04.2020 21:45,128694,354562,257,0
08.04.2020 00:00,07.04.2020 22:00,128773,354562,313,0
08.04.2020 00:15,07.04.2020 22:15,128841,354562,272,0
08.04.2020 00:30,07.04.2020 22:30,128898,354562,228,0
08.04.2020 00:45,07.04.2020 22:45,128968,354562,279,0
08.04.2020 01:00,07.04.2020 23:00,129030,354562,249,0
08.04.2020 01:15,07.04.2020 23:15,129102,354562,286,0
08.04.2020 01:30,07.04.2020 23:30,129171,354562,277,0
08.04.2020 01:45,07.04.2020 23:45,129232,354562,243,0
08.04.2020 02:00,08.04.2020 00:00,129294,354562,248,0
08.04.2020 02:15,08.04.2020 00:15,129361,354562,268,0
08.04.2020 02:30,08.04.2020 00:30,129433,354562,284,0
08.04.2020 02:45,08.04.2020 00:45,129496,354562,254,0
08.04.2020 03:00,08.04.2020 01:00,129562,354562,262,0
08.04.2020 03:15,08.04.2020 01:15,129629,354562,266,0
08.04.2020 03:30,08.04.2020 01:30,129685,354562,224,0
08.04.2020 03:45,08.04.2020 01:45,129781,354562,383,0
08.04.2020 04:00,08.04.2020 02:00,129858,354562,309,0
08.04.2020 04:15,08.04.2020 02:15,129925,354562,269,0
08.04.2020 04:30,08.04.2020 02:30,129988,354562,250,0
08.04.2020 04:45,08.04.2020 02:45,130059,354562,286,0
08.04.2020 05:00,08.04.2020 03:00,130158,354562,392,0
08.04.2020 05:15,08.04.2020 03:15,130223,354562,263,0
08.04.2020 05:30,08.04.2020 03:30,130309,354562,344,0
08.04.2020 05:45,08.04.2020 03:45,130379,354562,278,0
08.04.2020 06:00,08.04.2020 04:00,130469,354562,357,0
08.04.2020 06:15,08.04.2020 04:15,130553,354562,339,0
08.04.2020 06:30,08.04.2020 04:30,130631,354562,308,0
08.04.2020 06:45,08.04.2020 04:45,130798,354562,667,0
08.04.2020 07:00,08.04.2020 05:00,130932,354562,537,0
08.04.2020 07:15,08.04.2020 05:15,130974,354562,166,0
08.04.2020 07:30,08.04.2020 05:30,131062,354567,351,19
08.04.2020 07:45,08.04.2020 05:45,131077,354641,61,293
08.04.2020 08:00,08.04.2020 06:00,131081,354757,16,464
08.04.2020 08:15,08.04.2020 06:15,131081,355003,0,983
08.04.2020 08:30,08.04.2020 06:30,131081,355303,0,1202
08.04.2020 08:45,08.04.2020 06:45,131491,355348,1641,180
08.04.2020 09:00,08.04.2020 07:00,131907,355353,1663,16
08.04.2020 09:15,08.04.2020 07:15,131946,355876,156,2094
